word,translation,explanation
near,靠近,"""near"" 既可當介系詞也可當形容詞，如 ""near the door""。"
far,遠,"""far"" 常見片語 ""so far""（到目前為止）。"
with,和...一起,"""with"" 表示「和某人一起」或「使用某工具」，如 ""cut with a knife""。"
without,沒有,"""without"" 是 ""with"" 的反義詞，表示「沒有、缺少」。"
of,的,"""of"" 是英文中使用頻率最高的介系詞之一，常表示所屬關係。"
and,和,"""and"" 是最基本的連接詞，用來連接對等的字詞或句子。"
but,但是,"""but"" 用來表示轉折，連接語意相反或對比的內容。"
or,或者,"""or"" 用來表示選擇，如 ""tea or coffee""（茶或咖啡）。"
because,因為,"""because"" 後面直接接完整子句，用來說明原因。"
so,所以,"""so"" 除了表示「所以」，也常用來加強語氣，如 ""so beautiful""（好漂亮）。"
if,如果,"""if"" 用來引導條件子句，常見於假設語氣。"
when,當...時,"""when"" 除了當疑問詞「何時」，也可當連接詞引導時間子句。"
what,什麼,"""what"" 是最常用的疑問詞之一，用來詢問事物。"
who,誰,"""who"" 用來詢問「誰」，指人；受格形式是 ""whom""，但口語常直接用 ""who""。"
where,哪裡,"""where"" 用來詢問地點。"
why,為什麼,"""why"" 用來詢問原因，回答常以 ""because"" 開頭。"
how,怎樣,"""how"" 用來詢問方式、程度或狀態，如 ""How are you?"""
this,這個,"""this"" 用於指稱距離說話者較近的單數事物。"
that,那個,"""that"" 用於指稱距離說話者較遠的單數事物。"
these,這些,"""these"" 是 ""this"" 的複數形。"
those,那些,"""those"" 是 ""that"" 的複數形。"
I,我,"""I"" 作為主詞永遠大寫，是英文中唯一單獨大寫的代名詞。"
you,你,"""you"" 不分單複數，也不分「你」與「妳」，男女通用。"
he,他,"""he"" 用於指稱男性第三人稱單數。"
she,她,"""she"" 用於指稱女性第三人稱單數。"
it,它,"""it"" 用於指稱物品、動物或抽象概念的第三人稱單數。"
we,我們,"""we"" 用於指稱包含說話者在內的一群人。"
they,他們,"""they"" 除了指第三人稱複數，現代英語也常用來指性別不明的單一個人。"
my,我的,"""my"" 是所有格代名詞，放在名詞前，如 ""my book""。"
your,你的,"""your"" 不分單複數所有格，都是同一個字。"
his,他的,"""his"" 既可放在名詞前（his book），也可單獨使用（It's his.）。"
her,她的,"""her"" 當所有格時放在名詞前，如 ""her book""。"
its,它的,"""its"" 是所有格，注意與 ""it's""（it is 的縮寫）拼法不同，容易混淆。"
our,我們的,"""our"" 是所有格代名詞，放在名詞前，如 ""our house""。"
their,他們的,"""their"" 是所有格代名詞，也常用於指單一、性別不明的人。"
me,我 (受格),"""me"" 是 ""I"" 的受格形式，用於動詞或介系詞之後。"
him,他 (受格),"""him"" 是 ""he"" 的受格形式。"
her,她 (受格),"""her"" 也可作為受格形式，拼法與所有格 ""her"" 相同。"
us,我們 (受格),"""us"" 是 ""we"" 的受格形式。"
them,他們 (受格),"""them"" 是 ""they"" 的受格形式。"
one,一,"""one"" 除了數字，也常當代名詞用，如 ""this one""（這一個）。"
two,二,"""two"" 拼法容易與 ""too""（也）、""to""（到）混淆，三者發音相同。"
three,三,"""three"" 的 ""th"" 音對中文母語者常是發音難點。"
four,四,"""four"" 拼法容易與 ""for""（為了）混淆，發音相同。"
five,五,"""five"" 常見片語 ""high five""（擊掌）。"
six,六,"""six"" 常見於時間、數量表達。"
seven,七,"""seven"" 常見片語 ""lucky seven""（幸運數字七）。"
eight,八,"""eight"" 拼法中 ""gh"" 不發音。"
nine,九,"""nine"" 常見片語 ""dressed to the nines""（盛裝打扮）。"
ten,十,"""ten"" 是十進位的基礎數字，常用於構成 ""-teen"" 和 ""-ty"" 的數字。"
zero,零,"""zero"" 在電話號碼或體育比分中口語常說 ""oh""。"
some,一些,"""some"" 通常用於肯定句，疑問句與否定句則常改用 ""any""。"
many,很多,"""many"" 用於可數名詞前，如 ""many books""。"
much,許多,"""much"" 用於不可數名詞前，如 ""much water""。"
all,全部,"""all"" 常見片語 ""all day""（一整天）。"
no,不 / 沒有,"""no"" 用於名詞前表示否定，如 ""no money""（沒有錢），與 ""not"" 用法不同。"
yes,是,"""yes"" 是最基本的肯定回答，口語中常簡化為 ""yeah""。"
now,現在,"""now"" 常見片語 ""right now""（現在馬上）。"
then,那時,"""then"" 除了「那時」，也常表示「接著、然後」，用於敘述先後順序。"
always,總是,"""always"" 是頻率副詞，通常放在一般動詞前、be動詞後。"
never,從不,"""never"" 本身已含否定意思，句中不需再加 ""not""。"
sometimes,有時候,"""sometimes"" 也可放在句首，語氣較強調。"
again,再一次,"""again"" 常見片語 ""once again""（再一次）。"
just,只是,"""just"" 除了「只是」，也常表示「剛剛」，如 ""just arrived""（剛到）。"
only,只有,"""only"" 的位置會影響語意重點，放在不同字前面意思會有微妙差異。"
very,非常,"""very"" 是常見的程度副詞，用來加強形容詞或副詞的語氣。"
too,太 (過度),"""too"" 放在句尾表示「也」，放在形容詞前則表示「太過」。"
also,也,"""also"" 通常放在句中，語氣比句尾的 ""too"" 稍正式。"
really,真的,"""really"" 常用來加強語氣，如 ""really good""（真的很好）。"
maybe,也許,"""maybe"" 通常放在句首，語氣較口語；""perhaps"" 較正式。"
about,大約,"""about"" 除了「大約」，也常表示「關於」，如 ""talk about""。"
before,之前,"""before"" 既可當介系詞、連接詞，也可當副詞，如 ""the day before""。"
after,之後,"""after"" 與 ""before"" 是一組反義詞，都可表示時間或順序。"
over,結束 / 上方,"""over"" 有多種意思，可表示「結束」，也可表示「在...上方」。"
under,下方,"""under"" 也常用於抽象意義，如 ""under construction""（施工中）。"
through,穿過,"""through"" 常見片語 ""go through""（經歷、通過）。"
around,周圍,"""around"" 除了「周圍」，口語中也常表示「大約」，與 ""about"" 相近。"
with,跟,"這裡的 ""with"" 表示「陪伴、跟隨」，用法與 ""和...一起"" 相近但更簡潔。"
from,從,"""from"" 常用來表示起點，如 ""from Taiwan""（來自台灣）。"
to,到,"""to"" 除了表示方向，也常用於構成不定詞，如 ""to go""。"
at,在,"""at"" 通常用於較精確的時間點或地點，如 ""at 3 o'clock""。"
by,在旁邊,"""by"" 除了「在旁邊」，也常表示交通方式，如 ""by bus""（搭公車）。"
must,必須,"""must"" 表示強烈的義務或推測，語氣比 ""should"" 更強。"
can,能,"""can"" 的過去式是 ""could""，也常用來表示禮貌的請求。"
should,應該,"""should"" 表示建議或義務，語氣比 ""must"" 較委婉。"
may,可以,"""may"" 除了「可以」，也常表示「可能」，如 ""It may rain.""（可能會下雨）。"
